# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection remove function
# Column 3 = Avg time for BinSearchCollection remove function
# Column 4 = Avg time for HashTableCollection remove function
# Column 5 = Avg time for BSTCollection remove function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00
1024 0.14 0.02 0.00 0.01
2048 0.31 0.03 0.00 0.01
3072 0.40 0.04 0.00 0.04
4096 0.53 0.05 0.00 0.03
5120 0.71 0.06 0.00 0.02
6144 0.76 0.10 0.00 0.04
7168 1.31 0.11 0.00 0.03
8192 1.13 0.15 0.00 0.04
9216 1.32 0.11 0.00 0.04
10240 1.49 0.15 0.00 0.06
11264 1.48 0.14 0.00 0.05
12288 1.64 0.19 0.00 0.05
13312 1.84 0.16 0.00 0.06
14336 2.38 0.18 0.00 0.07
15360 2.36 0.18 0.00 0.06
16384 3.52 0.24 0.00 0.09
17408 2.96 0.28 0.00 0.09
18432 2.45 0.29 0.00 0.13
19456 2.57 0.26 0.00 0.10
20480 2.84 0.34 0.00 0.08
21504 3.14 0.29 0.00 0.18
22528 3.46 0.32 0.00 0.13
23552 3.35 0.29 0.00 0.10
24576 3.37 0.40 0.00 0.12
25600 3.74 0.40 0.00 0.13
26624 4.14 0.38 0.00 0.17
27648 4.58 0.40 0.00 0.14
28672 4.27 0.40 0.00 0.14
29696 4.47 0.44 0.00 0.15
30720 4.56 0.46 0.00 0.15
31744 4.54 0.51 0.00 0.17
32768 4.91 0.45 0.00 0.15
33792 4.76 0.47 0.00 0.16
34816 4.75 1.82 0.00 0.17
