# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection find-range function
# Column 3 = Avg time for BinSearchCollection find-range function
# Column 4 = Avg time for HashTableCollection find-range function
# Column 5 = Avg time for BSTCollection find-range function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00
1024 0.53 0.42 0.39 0.38
2048 1.04 0.72 0.67 0.73
3072 1.46 1.05 1.02 1.07
4096 1.88 1.53 1.40 1.46
5120 2.45 1.76 1.69 1.84
6144 2.80 2.04 1.99 2.17
7168 3.39 2.46 2.35 2.46
8192 3.74 2.70 2.72 2.87
9216 4.41 3.08 3.01 3.14
10240 4.86 3.49 3.37 3.56
11264 5.19 3.82 3.69 3.98
12288 5.67 4.35 4.08 4.59
13312 6.38 5.24 4.37 5.04
14336 7.11 5.32 4.76 5.40
15360 7.54 5.71 5.21 5.81
16384 7.81 5.84 5.33 6.07
17408 8.31 6.37 5.93 6.41
18432 8.87 6.58 6.18 6.50
19456 9.63 7.22 6.63 6.90
20480 9.47 7.20 7.70 8.17
21504 10.89 9.35 8.15 8.81
22528 12.19 8.60 9.16 9.82
23552 12.54 10.09 8.60 9.81
24576 12.64 10.58 9.20 11.00
25600 13.47 11.85 10.40 12.79
26624 14.57 12.35 9.95 14.26
27648 17.45 12.86 11.81 13.18
28672 17.45 13.99 11.07 13.83
29696 18.12 14.42 11.48 13.81
30720 18.24 14.82 12.89 15.62
31744 19.39 15.25 13.08 14.57
32768 19.63 15.87 13.74 15.58
33792 20.62 16.32 14.10 16.42
34816 21.39 17.32 14.37 17.19
