# Column 1 = Input data size
# Column 2 = Height for BSTCollection

0 0
1024 132
2048 260
3072 388
4096 516
5120 644
6144 772
7168 900
8192 1028
9216 1156
10240 1284
11264 1412
12288 1540
13312 1668
14336 1796
15360 1924
16384 2052
17408 2180
18432 2308
19456 2436
20480 2564
21504 2692
22528 2820
23552 2948
24576 3076
25600 3204
26624 3332
27648 3460
28672 3588
29696 3716
30720 3844
31744 3972
32768 4100
33792 4228
34816 4356
