# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection sort function
# Column 3 = Avg time for BinSearchCollection sort function
# Column 4 = Avg time for HashTableCollection sort function
# Column 5 = Avg time for BSTCollection sort function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00
1024 2.97 0.43 1.49 0.27
2048 9.64 0.61 2.72 0.39
3072 15.94 1.08 4.04 0.79
4096 27.72 1.20 6.70 0.66
5120 40.47 1.41 4.73 0.69
6144 43.60 1.87 7.96 1.66
7168 70.20 1.79 8.91 1.21
8192 80.22 2.14 9.80 2.54
9216 105.15 2.17 10.01 1.51
10240 132.37 2.00 10.30 1.39
11264 140.79 3.47 11.38 2.28
12288 160.43 2.97 13.07 2.23
13312 192.58 3.22 14.43 2.61
14336 218.89 3.28 17.59 2.26
15360 250.60 3.32 18.96 2.48
16384 275.13 3.52 20.53 2.47
17408 320.32 3.66 16.20 2.56
18432 399.89 3.83 19.21 2.68
19456 384.27 4.00 21.22 2.97
20480 432.86 4.11 22.13 2.75
21504 467.18 6.13 24.14 5.48
22528 548.02 6.30 26.41 4.69
23552 587.30 6.29 28.08 4.90
24576 653.39 6.59 31.85 4.96
25600 703.18 8.24 37.87 5.48
26624 823.68 9.27 42.52 5.75
27648 873.42 6.98 36.88 5.97
28672 923.49 7.52 41.95 7.64
29696 1060.80 8.89 48.66 6.65
30720 1176.10 8.47 47.24 7.07
31744 1240.74 9.14 53.85 8.28
32768 1500.38 8.17 49.32 5.97
33792 1269.03 7.78 35.39 6.09
34816 1327.63 7.83 36.09 5.73
