# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection find-value function
# Column 3 = Avg time for BinSearchCollection find-value function
# Column 4 = Avg time for HashTableCollection find-value function
# All times are measured in microseconds
0 0.00 0.00 0.00
1024 0.08 0.00 0.00
2048 0.26 0.00 0.00
3072 0.27 0.00 0.00
4096 0.31 0.00 0.00
5120 0.36 0.00 0.00
6144 0.47 0.00 0.00
7168 0.58 0.00 0.00
8192 0.83 0.00 0.00
9216 1.01 0.00 0.00
10240 0.89 0.00 0.00
11264 1.00 0.00 0.00
12288 1.06 0.00 0.00
13312 1.17 0.00 0.00
14336 1.20 0.00 0.00
15360 1.37 0.00 0.00
16384 1.37 0.00 0.00
17408 1.48 0.00 0.00
18432 1.65 0.00 0.00
19456 1.75 0.00 0.00
20480 1.73 0.00 0.00
21504 1.76 0.00 0.00
22528 2.52 0.00 0.00
23552 1.99 0.00 0.00
24576 2.02 0.00 0.00
25600 2.20 0.00 0.00
26624 2.19 0.00 0.00
27648 2.73 0.00 0.00
28672 2.51 0.00 0.00
29696 3.27 0.00 0.00
30720 2.56 0.00 0.00
31744 2.64 0.00 0.00
32768 2.85 0.00 0.00
33792 3.21 0.00 0.00
34816 2.73 0.00 0.00
