# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection sort function
# Column 3 = Avg time for BinSearchCollection sort function
# Column 4 = Avg time for HashTableCollection sort function
# All times are measured in microseconds
0 0.00 0.00 0.01
1024 2.35 0.23 1.12
2048 6.93 0.41 2.01
3072 12.86 0.86 3.16
4096 20.80 0.82 4.59
5120 30.48 0.98 4.64
6144 43.57 1.39 6.17
7168 58.46 2.29 9.57
8192 91.10 2.70 12.70
9216 133.51 1.90 7.81
10240 118.15 2.03 11.74
11264 158.64 3.66 14.06
12288 211.71 3.02 13.61
13312 193.60 4.60 18.66
14336 244.55 3.25 17.92
15360 271.30 3.44 19.30
16384 373.04 3.98 29.12
17408 375.28 4.04 16.26
18432 431.87 4.11 20.88
19456 477.11 4.03 21.06
20480 436.74 4.10 21.77
21504 486.37 6.59 23.72
22528 539.28 5.58 24.45
23552 670.15 6.53 32.39
24576 647.94 13.91 61.23
25600 1016.76 6.55 31.46
26624 797.23 7.26 35.56
27648 849.41 7.07 37.51
28672 921.18 7.23 40.58
29696 1002.33 7.53 40.61
30720 1063.63 7.76 45.11
31744 1101.40 8.75 52.68
32768 1427.39 10.35 63.75
33792 1305.39 7.71 35.22
34816 1516.06 7.99 37.34
