# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection remove function
# Column 3 = Avg time for BinSearchCollection remove function
# Column 4 = Avg time for HashTableCollection remove function
# All times are measured in microseconds
0 0.00 0.00 0.00
1024 0.14 0.01 0.00
2048 0.37 0.03 0.00
3072 0.48 0.04 0.00
4096 0.54 0.05 0.00
5120 1.06 0.07 0.00
6144 0.85 0.07 0.00
7168 0.95 0.09 0.00
8192 1.05 0.14 0.00
9216 1.23 0.13 0.00
10240 1.39 0.13 0.00
11264 1.65 0.13 0.00
12288 2.61 0.15 0.00
13312 1.89 0.19 0.00
14336 2.03 0.18 0.00
15360 2.22 0.30 0.00
16384 2.87 0.21 0.00
17408 2.63 0.21 0.00
18432 2.79 0.72 0.00
19456 2.80 0.29 0.00
20480 2.94 0.24 0.00
21504 3.09 0.28 0.00
22528 3.28 0.26 0.00
23552 4.21 0.28 0.00
24576 3.63 0.38 0.00
25600 3.91 0.30 0.00
26624 4.46 0.61 0.00
27648 3.73 0.34 0.00
28672 3.76 0.61 0.00
29696 3.98 0.36 0.00
30720 4.05 0.36 0.00
31744 4.10 0.46 0.00
32768 4.89 0.43 0.00
33792 4.55 0.46 0.00
34816 4.91 0.46 0.00
