# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection add function
# Column 3 = Avg time for BinSearchCollection add function
# Column 4 = Avg time for HashTableCollection add function
# All times are measured in milliseconds
0 0.00 0.00 0.00
1024 0.00 0.02 0.14
2048 0.00 0.03 0.29
3072 0.00 0.05 0.00
4096 0.00 0.06 0.58
5120 0.16 0.21 0.00
6144 0.00 0.09 0.00
7168 0.00 0.10 0.00
8192 0.00 0.16 1.26
9216 0.00 0.17 0.00
10240 0.42 0.43 0.00
11264 0.00 0.19 0.00
12288 0.00 0.18 0.00
13312 0.00 0.21 0.00
14336 0.00 0.25 0.00
15360 0.00 0.22 0.00
16384 0.00 0.23 2.31
17408 0.00 0.29 0.00
18432 0.00 0.26 0.00
19456 0.00 0.29 0.00
20480 0.75 0.92 0.00
21504 0.00 0.31 0.00
22528 0.00 0.32 0.00
23552 0.00 0.33 0.00
24576 0.00 0.35 0.00
25600 0.00 0.38 0.00
26624 0.00 0.39 0.00
27648 0.00 0.41 0.00
28672 0.00 0.42 0.00
29696 0.00 0.43 0.00
30720 0.00 0.47 0.00
31744 0.00 0.45 0.00
32768 0.00 0.50 4.94
33792 0.00 0.54 0.00
34816 0.00 0.50 0.00
