# Column 1 = Input data size
# Column 2 = Array avg time shuffle sorted, insertion sort
# Column 3 = Array avg time reverse sorted, insertion sort
# Column 4 = Linked avg time shuffle sorted, insertion sort
# Column 5 = Linked avg time reverse sorted, insertion sort
# All times are measured in milliseconds
0 0.00 0.00 0.00 0.00
500 0.17 0.07 0.52 0.51
1000 0.75 0.24 2.19 2.05
1500 1.41 0.50 13.84 5.87
2000 12.71 0.93 8.90 22.21
2500 14.57 1.52 22.95 37.57
3000 13.68 2.17 32.94 46.66
3500 16.92 2.93 48.74 85.75
4000 20.18 3.64 75.09 93.15
4500 23.02 15.06 96.92 123.60
5000 34.94 5.59 127.09 159.65
5500 38.33 17.30 141.27 164.17
6000 42.98 17.76 176.09 223.52
6500 57.65 21.64 192.94 268.69
7000 61.72 23.15 223.78 346.99
7500 66.68 23.37 251.73 371.98
8000 70.57 35.56 282.26 419.12
8500 98.90 36.47 300.63 487.75
9000 98.35 40.42 363.15 546.14
9500 115.06 41.33 419.15 584.87
10000 127.12 32.85 451.82 670.13
