# Column 1 = Input data size
# Column 2 = Array avg time reverse sorted, selection sort
# Column 3 = Linked avg time reverse sorted, selection sort
# Column 4 = Array avg time reverse sorted, insertion sort
# Column 5 = Linked avg time reverse sorted, insertion sort
# All times are measured in milliseconds
0 0.00 0.00 0.00 0.00
500 0.10 0.52 0.21 0.61
1000 0.29 2.17 0.68 2.23
1500 0.77 14.99 1.39 16.36
2000 1.07 20.55 2.52 19.34
2500 1.70 47.26 3.98 14.04
3000 11.31 34.25 16.64 32.57
3500 3.17 73.04 18.40 47.76
4000 14.60 83.30 19.23 67.45
4500 5.51 119.54 21.46 102.64
5000 6.72 121.74 24.20 127.61
5500 19.47 165.07 37.40 128.23
6000 20.03 204.09 44.13 175.44
6500 20.16 249.31 46.11 199.44
7000 33.14 262.34 62.98 226.62
7500 23.35 347.70 77.75 265.75
8000 37.47 354.98 69.36 305.45
8500 40.55 412.88 87.79 326.25
9000 42.00 442.35 89.88 367.32
9500 32.24 512.75 105.29 400.01
10000 56.86 564.65 120.52 453.43
