# Column 1 = Input data size
# Column 2 = Array avg time shuffle sorted, selection sort
# Column 3 = Linked avg time shuffle sorted, selection sort
# Column 4 = Array avg time shuffle sorted, insertion sort
# Column 5 = Linked avg time shuffle sorted, insertion sort
# All times are measured in milliseconds
0 0.00 0.00 0.00 0.00
500 0.08 0.63 0.06 0.60
1000 0.36 2.86 0.25 2.23
1500 0.63 36.07 0.56 5.95
2000 1.18 78.27 0.97 31.64
2500 1.85 84.73 11.58 17.79
3000 2.54 129.20 12.23 35.79
3500 14.80 176.25 11.90 84.42
4000 4.59 250.55 14.14 101.06
4500 5.60 278.27 4.86 124.53
5000 6.85 422.93 16.95 148.96
5500 17.83 499.12 15.94 196.93
6000 20.80 560.62 8.53 240.80
6500 22.89 666.15 20.54 288.29
7000 24.21 800.18 32.49 319.37
7500 34.97 942.97 32.42 361.55
8000 39.55 1087.43 25.21 400.27
8500 42.65 1238.46 27.04 468.86
9000 51.60 1394.74 38.36 553.81
9500 55.73 1550.16 32.97 596.59
10000 58.27 1763.45 55.17 688.08
