# Column 1 = Input data size
# Column 2 = Array avg time shuffle sorted, merge sort
# Column 3 = Linked avg time shuffle sorted, merge sort
# Column 4 = Array avg time shuffle sorted, quick sort
# Column 5 = Linked avg time shuffle sorted, quick sort
# All times are measured in milliseconds
0 0.00 0.00 0.00 0.00
500 0.03 0.01 0.01 0.07
1000 0.05 0.04 0.04 0.24
1500 0.05 0.05 0.11 0.61
2000 0.06 0.08 0.23 1.41
2500 0.08 0.09 0.25 2.53
3000 0.10 0.14 0.31 3.37
3500 0.17 0.23 0.40 5.32
4000 0.14 0.18 0.44 16.67
4500 0.22 0.25 0.58 10.55
5000 0.19 0.22 0.69 32.30
5500 0.21 0.31 0.91 36.33
6000 0.21 0.37 1.00 51.18
6500 0.27 0.35 1.46 49.60
7000 0.54 0.39 1.31 52.01
7500 0.30 0.42 10.84 70.23
8000 0.23 0.45 1.66 95.18
8500 0.26 0.52 2.27 114.21
9000 0.30 0.63 12.93 125.71
9500 0.44 0.67 2.43 155.64
10000 0.33 0.73 2.56 199.03
