# Column 1 = Input data size
# Column 2 = Array avg time reverse sorted, merge sort
# Column 3 = Array avg time shuffle sorted, merge sort
# Column 4 = Linked avg time reverse sorted, merge sort
# Column 5 = Linked avg time shuffle sorted, merge sort
# All times are measured in milliseconds
0 0.00 0.00 0.00 0.00
500 0.01 0.02 0.01 0.01
1000 0.02 0.03 0.03 0.03
1500 0.04 0.04 0.04 0.05
2000 0.05 0.05 0.04 0.10
2500 0.06 0.07 0.06 0.10
3000 0.08 0.08 0.06 0.13
3500 0.11 0.11 0.08 0.15
4000 0.13 0.12 0.09 0.19
4500 0.16 0.14 0.11 0.24
5000 0.16 0.17 0.11 0.27
5500 0.18 0.16 0.12 0.27
6000 0.28 0.25 0.15 0.34
6500 0.24 0.23 10.37 0.36
7000 0.24 0.24 0.18 0.40
7500 0.26 0.31 0.25 0.47
8000 0.25 0.25 0.20 0.43
8500 0.25 0.27 0.22 0.53
9000 0.28 0.31 0.22 0.62
9500 0.30 0.30 0.24 0.68
10000 0.33 0.31 0.28 0.71
