# Column 1 = Input data size
# Column 2 = Array avg time reverse sorted, merge sort
# Column 3 = Linked avg time reverse sorted, merge sort
# Column 4 = Array avg time reverse sorted, quick sort
# Column 5 = Linked avg time reverse sorted, quick sort
# All times are measured in milliseconds
0 0.00 0.00 0.00 0.00
500 0.02 0.02 0.15 0.32
1000 0.03 0.04 0.36 0.80
1500 0.04 0.03 0.75 8.33
2000 0.06 0.04 1.31 4.04
2500 0.07 0.05 2.29 6.89
3000 0.07 0.06 2.90 29.51
3500 0.09 0.07 14.13 34.12
4000 0.10 0.09 5.10 27.82
4500 0.11 0.10 6.41 43.41
5000 0.22 0.13 20.79 81.88
5500 0.17 0.12 18.71 81.58
6000 0.18 0.15 21.47 78.25
6500 0.24 0.19 24.08 116.27
7000 0.30 0.20 29.18 150.91
7500 0.27 0.19 38.28 140.37
8000 0.26 0.20 40.96 181.58
8500 0.30 0.21 45.44 217.90
9000 0.41 9.35 49.82 220.35
9500 0.26 0.27 60.25 247.58
10000 0.41 0.26 63.26 282.50
