# Column 1 = Input data size
# Column 2 = Avg time for ArrayList find-value function
# Column 3 = Avg time for BinSearch find-value function
# All times are measured in microseconds
0 0.00 0.00
1024 0.07 0.00
2048 0.15 0.00
3072 0.23 0.00
4096 0.29 0.00
5120 0.36 0.00
6144 0.43 0.00
7168 0.56 0.00
8192 0.57 0.00
9216 0.65 0.00
10240 0.71 0.00
11264 0.79 0.00
12288 0.89 0.00
13312 1.04 0.00
14336 1.07 0.00
15360 1.15 0.00
16384 1.24 0.00
17408 1.35 0.00
18432 1.64 0.00
19456 1.70 0.00
20480 1.94 0.00
21504 1.63 0.00
22528 1.68 0.00
23552 1.76 0.00
24576 1.85 0.00
25600 1.92 0.00
26624 2.31 0.00
27648 2.08 0.00
28672 2.14 0.00
29696 2.25 0.00
30720 2.36 0.00
31744 2.43 0.00
32768 2.45 0.00
33792 2.58 0.00
34816 2.63 0.00
