# Column 1 = Input data size
# Column 2 = Avg time for ArrayList remove function
# Column 3 = Avg time for BinSearch remove function
# All times are measured in microseconds
0 0.00 0.00
1024 0.08 0.02
2048 0.18 0.05
3072 0.22 0.06
4096 0.29 0.12
5120 0.39 0.10
6144 0.43 0.12
7168 0.51 0.14
8192 0.59 0.16
9216 0.68 0.18
10240 0.72 0.20
11264 0.80 0.21
12288 0.89 0.24
13312 1.01 0.26
14336 1.29 0.28
15360 1.15 0.29
16384 1.18 0.31
17408 1.25 0.35
18432 1.33 0.35
19456 1.40 0.36
20480 1.47 0.42
21504 1.56 0.46
22528 1.64 0.44
23552 1.78 0.46
24576 1.77 0.52
25600 1.83 0.50
26624 1.95 0.56
27648 2.15 0.52
28672 2.53 0.55
29696 2.25 0.58
30720 2.30 0.61
31744 2.35 0.60
32768 2.38 0.61
33792 2.47 0.66
34816 2.57 0.67
