# Column 1 = Input data size
# Column 2 = Avg time for ArrayList sort function
# Column 3 = Avg time for BinSearch sort function
# All times are measured in microseconds
0 0.00 0.00
1024 0.16 0.12
2048 0.44 0.18
3072 0.79 0.27
4096 1.06 0.35
5120 1.49 0.46
6144 1.94 0.55
7168 2.43 0.63
8192 3.03 0.71
9216 3.63 0.80
10240 4.28 0.88
11264 5.05 0.99
12288 5.83 1.07
13312 6.79 1.18
14336 8.46 1.25
15360 8.76 1.32
16384 9.86 1.40
17408 13.11 1.51
18432 12.02 1.58
19456 13.50 1.78
20480 17.01 1.75
21504 16.06 1.91
22528 18.34 2.02
23552 18.76 2.07
24576 20.84 2.14
25600 22.54 2.22
26624 24.12 2.33
27648 24.93 2.50
28672 26.47 2.50
29696 28.25 2.57
30720 34.22 2.68
31744 32.07 2.78
32768 35.45 2.84
33792 35.97 2.91
34816 41.97 3.03
