# Column 1 = Input data size
# Column 2 = Avg time for ArrayList find-value function
# Column 3 = Avg time for LinkedList find-value function
# All times are measured in microseconds
0 0.00 0.00
1024 0.07 1.91
2048 0.14 7.85
3072 0.28 33.73
4096 0.33 63.86
5120 0.39 102.10
6144 0.57 166.07
7168 0.50 208.42
8192 0.93 271.43
9216 0.73 353.83
10240 0.82 415.09
11264 0.86 516.36
12288 0.94 597.85
13312 1.24 733.22
14336 1.19 850.75
15360 1.41 986.46
16384 18.58 1060.56
17408 1.85 1277.46
18432 1.37 1347.09
19456 1.41 1535.40
20480 1.68 1689.83
21504 1.56 1940.82
22528 1.62 2076.18
23552 1.71 2369.11
24576 1.87 2566.68
