# Column 1 = Input data size
# Column 2 = Avg time for ArrayList sort function
# Column 3 = Avg time for LinkedList sort function
# All times are measured in microseconds
0 0.00 0.00
1024 0.17 1.80
2048 0.45 7.77
3072 0.74 34.77
4096 1.15 63.97
5120 1.49 95.64
6144 2.02 157.49
7168 2.44 182.90
8192 18.80 241.81
9216 4.18 312.06
10240 4.62 384.69
11264 5.29 441.95
12288 21.67 623.27
13312 7.21 663.87
14336 8.86 775.44
15360 8.70 894.05
16384 10.76 1020.35
17408 29.86 1078.22
18432 13.77 1278.35
19456 13.48 1420.98
20480 32.04 1605.90
21504 32.83 1758.53
22528 31.64 1933.45
23552 37.94 2110.59
24576 40.53 2221.73
